-149.6,-0.00502753,0.462620329,-0.367138016,-0.017681152
-149.4,-0.004999833,0.462669948,-0.353523545,-0.017044549
-149.2,-0.004997434,0.462668553,-0.34043732,-0.016428757
-149,-0.005001851,0.462618821,-0.327856943,-0.015832943
-148.8,-0.005008888,0.46252329,-0.315761011,-0.015256306
-148.6,-0.005017158,0.462384372,-0.304129073,-0.014698079
-148.4,-0.005026093,0.462204354,-0.292941581,-0.014157522
-148.2,-0.005035424,0.461985408,-0.282179852,-0.013633927
-148,-0.005045011,0.461729599,-0.271826024,-0.013126612
-147.8,-0.005054774,0.461438885,-0.26186302,-0.012634923
-147.6,-0.005064667,0.461115129,-0.252274512,-0.01215823
-147.4,-0.005074659,0.460760097,-0.243044883,-0.011695929
-147.2,-0.005084731,0.460375471,-0.234159199,-0.011247438
-147,-0.005094869,0.459962847,-0.225603173,-0.010812199
-146.8,-0.005105065,0.459523743,-0.217363141,-0.010389673
-146.6,-0.005115312,0.459059601,-0.209426025,-0.009979344
-146.4,-0.005125605,0.458571793,-0.201779314,-0.009580714
-146.2,-0.005135941,0.458061623,-0.194411034,-0.009193304
-146,-0.005146317,0.457530331,-0.187309726,-0.008816654
-145.8,-0.005156732,0.456979097,-0.180464419,-0.008450319
-145.6,-0.005167183,0.456409041,-0.173864611,-0.008093873
-145.4,-0.00517767,0.45582123,-0.167500249,-0.007746905
-145.2,-0.005188191,0.455216681,-0.161361702,-0.007409019
-145,-0.005198747,0.454596357,-0.155439751,-0.007079832
-144.8,-0.005209336,0.453961179,-0.149725564,-0.006758976
-144.6,-0.005219958,0.45331202,-0.144210679,-0.006446099
-144.4,-0.005230613,0.452649713,-0.138886993,-0.006140856
-144.2,-0.0052413,0.45197505,-0.13374674,-0.00584292
-144,-0.00525202,0.451288783,-0.128782476,-0.005551971
-143.8,-0.005262771,0.450591631,-0.123987071,-0.005267703
-143.6,-0.005273555,0.449884277,-0.119353688,-0.004989821
-143.4,-0.005284372,0.44916737,-0.114875773,-0.004718037
-143.2,-0.00529522,0.44844153,-0.110547043,-0.004452076
